Rank,Song,Artist,Album,Streams,Date,From
1,"""Shape of You""",Ed Sheeran,Division,2357,2017,European
2,"""One Dance""",Drake featuring Wizkid and Kyla,Views,1775,2016,American
3,"""Rockstar""",Post Malone featuring 21 Savage,Beerbongs & Bentleys,1500,2017,American
4,"""Closer""",The Chainsmokers featuring Halsey,Collage,1667,2016,American
5,"""Thinking Out Loud""",Ed Sheeran,Multiply,1444,2014,European
6,"""God's Plan""",Drake,Scorpion,1425,2018,American
7,"""Havana""",Camila Cabello featuring Young Thug,Camila,1351,2017,American
8,"""Love Yourself""",Justin Bieber,Purpose,1305,2015,American
9,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Vida,1302,2017,European
10,"""Lean On""",Major Lazer and DJ Snake featuring MØ,Peace Is the Mission,1297,2015,African/Carribean
11,"""Perfect""",Ed Sheeran,Division,1285,2017,European
12,"""Say You Won't Let Go""",James Arthur,Back from the Edge,1276,2016,European
13,"""Photograph""",Ed Sheeran,Multiply,1260,2014,European
14,"""New Rules""",Dua Lipa,Dua Lipa,1254,2017,European
15,"""Starboy""",The Weeknd featuring Daft Punk,Starboy,1249,2016,American
16,"""Sorry""",Justin Bieber,Purpose,1248,2015,American
17,"""Don't Let Me Down""",The Chainsmokers featuring Daya,Collage,1236,2016,American
18,"""Sunflower""",Post Malone and Swae Lee,Spider-Man: Into the Spider-Verse & Hollywood's Bleeding,1230,2018,American
19,"""Believer""",Imagine Dragons,Evolve,1209,2017,American
20,"""I Took a Pill in Ibiza (Seeb Remix)""",Mike Posner,"At Night, Alone",1200,2015,American
21,"""Something Just Like This""",The Chainsmokers and Coldplay,Memories...Do Not Open,1191,2017,American
22,"""Let Me Love You""",DJ Snake featuring Justin Bieber,Encore,1175,2016,African/Carribean
23,"""Thunder""",Imagine Dragons,Evolve,1174,2017, American
24,"""Humble""",Kendrick Lamar,Damn,1167,2017, American
25,"""XO Tour Llif3""",Lil Uzi Vert,Luv Is Rage 2,1157,2017, American
26,"""Sad!""",XXXTentacion,?,1146,2018, American
27,"""Faded""",Alan Walker,Different World,1123,2015, European
28,"""Stressed Out""",Twenty One Pilots,Blurryface,1120,2015,American
29,"""Congratulations""",Post Malone featuring Quavo,Stoney,1104,2016, American
30,"""Unforgettable""",French Montana featuring Swae Lee,Rules,1091,2017, American
31,"""Cheap Thrills""",Sia,This Is Acting,1090,2016,Other
32,"""Better Now""",Post Malone,Beerbongs & Bentleys,1087,2018,American
33,"""All of Me""",John Legend,Love in the Future,1081,2013, American
34,"""Treat You Better""",Shawn Mendes,Illuminate,1078,2016, American
35,"""Uptown Funk""",Mark Ronson featuring Bruno Uptown Special,Take,1078,2014,American
36,"""Take Me to Church""",Hozier,Hozier,1073,2013,European
37,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,Single,1064,2016,African/Carribean
38,"""Bohemian Rhapsody""",Queen,A Night at the Opera,1055,1975, European
39,"""Despacito""",Luis Fonsi featuring Daddy Yankee,Vida,1054,2017, European
40,"""What Do You Mean?""",Justin Bieber,Purpose,1051,2015, American
41,"""Stay with Me""",Sam Smith,In the Lonely Hour,1049,2014, European
42,"""Señorita""",Shawn Mendes and Camila Cabello,Shawn Mendes & Romance,1039,2019, American
43,"""7 Years""",Lukas Graham,Lukas Graham,1036,2015, European
44,"""Happier""",Marshmello featuring Bastille,Non-album single,1032,2018,American
45,"""Let Her Go""",Passenger,All the Little Lights,1029,2012, European
46,"""Stitches""",Shawn Mendes,Handwritten,1015,2015, American
47,"""Can't Stop the Feeling!""",Justin Timberlake,Trolls: Original Motion Picture Soundtrack,1015,2016, American
48,"""Bad Guy""",Billie Eilish,"When We All Fall Asleep, Where Do We Go?",1006,2019, American
49,"""Cheerleader (Felix Jaehn Remix)""",Omi,Me 4 U,995,2014, African/Carribean
50,"""That's What I Like""",Bruno Mars, 24K Magic,993,2016, American
51,"""Too Good at Goodbyes""",Sam Smith,The Thrill of It All,984,2017, European
52,"""Girls Like You""",Maroon 5 featuring Cardi B ,Red Pill Blues,980,2018, American
53,"""Lucid Dreams""",Juice Wrld,Goodbye & Good Riddance,979,2018, American
54,"""This Is What You Came For""",Calvin Harris featuring Rihanna,Non-album single,978,2016, American
55,"""Jocelyn Flores""",XXXTentacion,17,974,2017, American
56,"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,Jul-27,970,2016,American
57,"""Hello""",Adele,25,970,2015, American
58,"""Psycho""",Post Malone featuring Ty Dolla Sign,Beerbongs & Bentleys,966,2018, American
59,"""Can't Feel My Face""",The Weeknd,Beauty Behind the Madness,966,2015, American
